MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_isnull,MasVnrArea_isnull,GarageYrBlt_isnull,hasPoolArea,has2ndFlrSF,hasGarageArea,hasTotalBsmtSF,hasFireplaces,Id,SalePrice
0.8,0.0,0.2631578947368421,0.13144392865868557,0.0,0.0,0.0,0.0,0.0,0.0,-0.1111111111111111,0.0,0.0,-1.0,-1.0,-0.5,0.0,-0.0625,0.4864864864864865,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-1.0,-1.6666666666666667,-0.5302197802197802,-4.0,0.0,-0.8144329896907216,-1.9879759519038076,0.0,-1.0,0.0,0.0,0.41568627450980394,0.5934065934065934,0.0,0.40930232558139534,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,-0.5,0.0,0.10526315789473684,-1.0,0.0,0.24789915966386555,0.0,0.0,0.0,0.0,-0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,985,126000
-0.6,0.0,1.5789473684210527,0.9193745419008063,0.0,1.0,0.0,0.0,0.0,0.0,-0.4444444444444444,0.0,0.0,0.0,0.0,-0.5,0.0,-0.0625,0.4864864864864865,1.0,0.0,-0.4,0.2,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.3333333333333333,0.5164835164835165,0.0,0.0,-0.6391752577319587,-0.2565130260521042,0.0,-1.0,0.0,0.0,-0.3843137254901961,0.0,0.0,-0.8930232558139535,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.10526315789473684,-1.0,0.0,-0.16806722689075632,0.0,0.0,0.0,1.4345238095238095,-0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778,142500
1.4,0.0,-1.1578947368421053,-0.8177376007818227,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,-0.6666666666666666,-0.2972972972972973,1.0,0.0,-0.6,-0.6,1.0,1.0602409638554218,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6552197802197802,0.0,0.0,-0.022336769759450172,0.6653306613226453,0.0,0.0,0.0,0.0,0.4588235294117647,0.0,0.0,-0.22635658914728682,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,-0.6578947368421053,1.0,0.0,0.29411764705882354,0.0,0.0,0.0,1.1428571428571428,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708,254000
-0.6,0.0,0.5263157894736842,0.8299535792817004,0.0,0.0,-1.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,-0.5,1.0,-0.125,0.40540540540540543,0.0,0.0,0.0,0.2,1.0,2.7650602409638556,0.0,0.0,0.0,0.0,0.0,1.0,-0.3333333333333333,1.2321428571428572,-1.0,147.0,-0.8144329896907216,0.8777555110220441,0.0,0.0,0.0,0.0,1.092156862745098,0.0,0.0,0.2744186046511628,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.25,0.0,0.02631578947368421,1.0,0.0,0.592436974789916,0.0,0.0,0.0,0.0,-0.3611111111111111,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599,217500
0.0,-2.0,-0.9473684210526315,-0.9447837771805522,0.0,0.0,0.0,0.0,0.0,0.0,-0.7777777777777778,-2.0,0.0,0.0,-1.0,-0.5,1.0,0.6875,1.2162162162162162,0.0,0.0,-0.8,-0.8,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5302197802197802,0.0,0.0,0.3470790378006873,-0.6332665330661322,0.0,0.0,0.0,0.0,-0.8117647058823529,0.625,0.0,-0.5255813953488372,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-0.5,0.0,-1.0,-0.5,-1.0,1.0526315789473684,-1.0,-1.0,-1.1764705882352942,0.0,0.0,0.0,0.15476190476190477,-0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,875,66500
-0.6,0.0,0.15789473684210525,-0.1617395553383826,0.0,1.0,2.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,1.0,0.0,-0.6875,-0.32432432432432434,0.0,0.0,0.4,0.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.3333333333333333,-0.5082417582417582,0.0,0.0,1.6769759450171822,0.9498997995991983,0.0,0.0,0.0,0.0,0.7372549019607844,0.0,0.0,-0.006201550387596899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,-1.0,-0.5,0.0,-0.6842105263157895,1.0,1.0,0.5462184873949579,0.0,0.0,0.0,0.5952380952380952,-0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,931,201000
-0.6,0.0,-0.21052631578947367,0.6872709504031272,0.0,1.0,0.0,0.0,0.0,0.0,-0.2222222222222222,-1.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,-0.08108108108108109,1.0,0.0,-0.8,-0.8,1.0,1.0602409638554218,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.6666666666666666,0.2733516483516483,0.0,0.0,0.26804123711340205,0.4468937875751503,0.0,-1.0,0.0,-1.0,0.24509803921568626,0.0,0.0,-0.3953488372093023,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,0.0,0.6052631578947368,-1.0,-1.0,-0.7689075630252101,0.0,0.0,0.0,0.0,-0.3611111111111111,0.0,0.0,234.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,340,155000
0.0,-3.0,-0.5263157894736842,-0.5098949425849011,0.0,0.0,0.0,0.0,0.0,0.0,-0.8888888888888888,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.1458333333333333,1.2432432432432432,0.0,0.0,-0.6,-0.6,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-0.5302197802197802,0.0,0.0,0.3848797250859107,-0.5891783567134269,0.0,-1.0,0.0,-1.0,-0.7686274509803922,0.5906593406593407,0.0,-0.5302325581395348,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-1.0,0.05263157894736842,0.0,0.0,0.20168067226890757,0.0,0.0,0.0,0.17857142857142858,-0.3611111111111111,164.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1280,68400
-0.4,0.0,-0.5263157894736842,0.2963596384070364,0.0,0.0,0.0,0.0,0.0,0.0,-0.7777777777777778,0.0,0.0,0.0,0.0,-1.0,1.0,0.9375,-0.3783783783783784,0.0,0.0,-0.8,-0.8,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.0,-0.5302197802197802,0.0,0.0,0.3127147766323024,-0.6733466933867736,0.0,-1.0,0.0,0.0,-0.23921568627450981,0.0,0.0,-0.7782945736434108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5,0.0,-1.0,-0.5,-1.0,1.3421052631578947,-1.0,-1.0,-1.1092436974789917,-2.0,-2.0,0.0,0.0,-0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1433,64500
0.2,0.0,0.0,-0.11165404348888346,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,-1.0,0.0,0.0,1.0,0.0,3.0,0.14583333333333334,-0.16216216216216217,1.0,0.0,-0.4,0.0,1.0,1.5180722891566265,0.0,0.0,0.0,-1.0,0.0,0.0,0.3333333333333333,0.019230769230769232,-2.0,64.0,-0.23711340206185566,-0.3847695390781563,0.0,-0.5,0.0,0.0,-0.5686274509803921,1.1428571428571428,0.0,0.25116279069767444,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.5,0.0,-1.0,-0.5,0.0,0.3684210526315789,-1.0,0.0,0.01680672268907563,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1042,173000
